Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
RNA processing (GO:0006396),-0.20393465753642187,-1021.3715359350931,0.0,0.0,194,58,PNPT1;SNRPA1;PRPF4;LSM4;SNRPF;HNRNPH3;SNRPG;PPP2CA;HNRNPD;USB1;RRAGC;RP9;SYNCRIP;SRPK1;SNRNP40;LSM5;NOL3;MAGOHB;SNRPB;DKC1;PABPN1;MRPL44;SRRM1;AURKAIP1;DHX16;EFTUD2;HNRNPA2B1;SRSF1;SNRNP25;SNRNP70;PPP2R1A;HNRNPF;SRSF7;MPHOSPH10;LSM7;NCBP2;NUDT21;SRSF9;SF3B2;DHX9;SNRPD1;RNPS1;HNRNPR;SRSF2;XRN2;DHX15;SF3A3;HNRNPH1;PPIG;DHX29;TSEN34;ZCRB1;SFPQ;SNRPD3;PTBP1;HNRNPU;HNRNPC;HNRNPK,PRPF4;LSM4;SNRPF;HNRNPH3;SNRPG;PPP2CA;HNRNPD;USB1;RRAGC;RP9;SYNCRIP;SRPK1;SNRNP40;LSM5;NOL3;MAGOHB;SNRPB;DKC1;PABPN1;MRPL44;SRRM1;AURKAIP1;DHX16;EFTUD2;HNRNPA2B1;SRSF1;SNRNP25;SNRNP70;PPP2R1A;HNRNPF;SRSF7;MPHOSPH10;LSM7;NCBP2;NUDT21;SRSF9;SF3B2;DHX9;SNRPD1;RNPS1;HNRNPR;SRSF2;XRN2;DHX15;SF3A3;HNRNPH1;PPIG;DHX29;TSEN34;ZCRB1;SFPQ;SNRPD3;PTBP1;HNRNPU;HNRNPC;HNRNPK
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",-0.20444191821091653,-1719.7729879131296,0.0,0.0,237,91,HSPA8;CPSF4;POLR2L;PRPF40A;SNRPA1;DDX39A;PRPF4;LSM4;SNRNP27;SNRPF;HNRNPH3;PPIL1;POLR2D;SNRPG;HNRNPD;SMNDC1;POLR2G;SYNCRIP;SNRNP40;LSM5;MAGOHB;SNRPB;PABPN1;POLR2E;SRRM2;PRPF19;FRG1;RBM17;SRRM1;DHX16;EFTUD2;HNRNPA2B1;SRSF1;SNRNP25;SNRNP70;SF1;SRRT;BUD31;HNRNPF;TXNL4A;POLR2K;SRSF7;LSM7;WBP4;PPIH;NCBP2;NUDT21;SRSF9;DDX46;SF3B2;POLR2J;DHX9;SNRPD1;GTF2F2;DDX42;U2SURP;HNRNPM;RNPS1;CD2BP2;GEMIN6;HNRNPR;SRSF2;DHX15;SF3A3;HNRNPH1;PHF5A;SNU13;ZCRB1;FUS;YBX1;SRSF3;SFPQ;SRSF10;LSM2;SNRPC;DNAJC8;SNRPD3;POLR2H;PTBP1;PNN;SNRPE;POLR2F;CDC5L;SF3B5;HNRNPU;CWC15;PUF60;HNRNPA3;DDX5;HNRNPC;HNRNPK,EFTUD2;HNRNPA2B1;SRSF1;SNRNP25;SNRNP70;SF1;SRRT;BUD31;HNRNPF;TXNL4A;POLR2K;SRSF7;LSM7;WBP4;PPIH;NCBP2;NUDT21;SRSF9;DDX46;SF3B2;POLR2J;DHX9;SNRPD1;GTF2F2;DDX42;U2SURP;HNRNPM;RNPS1;CD2BP2;GEMIN6;HNRNPR;SRSF2;DHX15;SF3A3;HNRNPH1;PHF5A;SNU13;ZCRB1;FUS;YBX1;SRSF3;SFPQ;SRSF10;LSM2;SNRPC;DNAJC8;SNRPD3;POLR2H;PTBP1;PNN;SNRPE;POLR2F;CDC5L;SF3B5;HNRNPU;CWC15;PUF60;HNRNPA3;DDX5;HNRNPC;HNRNPK
"mRNA splicing, via spliceosome (GO:0000398)",-0.1704428827416535,-1141.2548928872422,0.0,0.0,262,95,HSPA8;CPSF4;POLR2L;PRPF40A;SNRPA1;STRAP;WDR77;DDX39A;PRPF4;LSM4;SNRNP27;PRMT5;SNRPF;HNRNPH3;PPIL1;POLR2D;SNRPG;HNRNPD;SMNDC1;POLR2G;SYNCRIP;SRPK1;SNRNP40;LSM5;MAGOHB;SNRPB;PABPN1;POLR2E;SRRM2;PRPF19;FRG1;RBM17;SRRM1;DHX16;EFTUD2;HNRNPA2B1;SRSF1;SNRNP25;SNRNP70;SF1;SRRT;BUD31;HNRNPF;TXNL4A;POLR2K;SRSF7;LSM7;WBP4;PPIH;NCBP2;NUDT21;SRSF9;DDX46;SF3B2;POLR2J;DHX9;SNRPD1;GTF2F2;DDX42;U2SURP;HNRNPM;RNPS1;CD2BP2;GEMIN6;HNRNPR;SRSF2;DHX15;SF3A3;HNRNPH1;PHF5A;SNU13;ZCRB1;FUS;YBX1;SRSF3;SFPQ;SRSF10;LSM2;SNRPC;DNAJC8;SNRPD3;POLR2H;PTBP1;PNN;SNRPE;POLR2F;CDC5L;SF3B5;HNRNPU;CWC15;PUF60;HNRNPA3;DDX5;HNRNPC;HNRNPK,EFTUD2;HNRNPA2B1;SRSF1;SNRNP25;SNRNP70;SF1;SRRT;BUD31;HNRNPF;TXNL4A;POLR2K;SRSF7;LSM7;WBP4;PPIH;NCBP2;NUDT21;SRSF9;DDX46;SF3B2;POLR2J;DHX9;SNRPD1;GTF2F2;DDX42;U2SURP;HNRNPM;RNPS1;CD2BP2;GEMIN6;HNRNPR;SRSF2;DHX15;SF3A3;HNRNPH1;PHF5A;SNU13;ZCRB1;FUS;YBX1;SRSF3;SFPQ;SRSF10;LSM2;SNRPC;DNAJC8;SNRPD3;POLR2H;PTBP1;PNN;SNRPE;POLR2F;CDC5L;SF3B5;HNRNPU;CWC15;PUF60;HNRNPA3;DDX5;HNRNPC;HNRNPK
translation (GO:0006412),-0.1644616634020313,-1567.525229300615,0.0,0.0,233,78,MRPL41;VARS;ETF1;MRPS17;EEF1E1;MARS;AIMP2;YARS;MRPS16;GARS;KARS;MRPL24;LARS;HARS;NARS;MRPL42;IARS;MRPS18B;MRPL1;RRBP1;MRTO4;MRPS5;FARSB;MRPS15;RPL39L;MRPL18;TARS;ZC3H15;PELO;MRRF;RARS;RSL1D1;RWDD1;RPS6KB2;MRPS9;MRPL2;MRPL34;COA1;EIF4H;TRMT112;MRPS34;EFTUD2;HSPA14;EEF1B2;MRPL36;MRPS2;MRPS18C;RPL26L1;AIMP1;ABCF1;RPL7L1;MRPL27;PPA2;PPA1;MRPS11;NHP2;GSPT1;YARS2;MRPL43;MRPL32;EPRS;MRPL37;MRPS6;MRPL55;MRPL47;MRPL28;MRPL11;SARS;SNU13;MRPS36;MRPL52;RPL35;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12,KARS;MRPL24;LARS;HARS;NARS;MRPL42;IARS;MRPS18B;MRPL1;RRBP1;MRTO4;MRPS5;FARSB;MRPS15;RPL39L;MRPL18;TARS;ZC3H15;PELO;MRRF;RARS;RSL1D1;RWDD1;RPS6KB2;MRPS9;MRPL2;MRPL34;COA1;EIF4H;TRMT112;MRPS34;EFTUD2;HSPA14;EEF1B2;MRPL36;MRPS2;MRPS18C;RPL26L1;AIMP1;ABCF1;RPL7L1;MRPL27;PPA2;PPA1;MRPS11;NHP2;GSPT1;YARS2;MRPL43;MRPL32;EPRS;MRPL37;MRPS6;MRPL55;MRPL47;MRPL28;MRPL11;SARS;SNU13;MRPS36;MRPL52;RPL35;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12
gene expression (GO:0010467),-0.13522449295408095,inf,,0.0,412,112,CPSF4;EIF5A;HSPD1;NUP93;MRPL41;MRPS17;POLR2L;EIF4E;DDX39A;PRPF4;PPP5C;NUP54;MRPS16;HNRNPH3;POLR2D;SNRPG;BAZ1B;MRPL24;HARS;GTF3C6;HNRNPD;MRPL42;MRPS18B;RRAGC;POLR2G;SYNCRIP;MRPL1;SNRNP40;RRBP1;MRPS5;SEH1L;FARSB;MRPS15;RPL39L;MAGOHB;DKC1;PABPN1;MRPL18;MRPL44;TARS;POLR2E;PELO;MRRF;NUP107;NUP50;RSL1D1;THOC3;RPS6KB2;MRPS9;MRPL34;COA1;SRRM1;PTMA;DHX16;NXT1;HNRNPA2B1;SRSF1;CHTOP;MRPL36;MRPS2;MRPS18C;HNRNPF;ABCF1;MRPL27;POLR2K;SRSF7;MPHOSPH10;MRPS11;LSM7;NUP37;NCBP2;NHP2;SRSF9;GSPT1;YARS2;POLR2J;MRPL43;DHX9;MRPL32;GTF3C5;RNPS1;SRSF2;MRPL37;XRN2;MRPS6;DHX15;HNRNPH1;MRPL55;PWP1;DHX29;MRPL28;SLBP;MRPL11;SARS;ILF2;SNU13;MRPS36;SRSF3;DRG1;SRSF10;POLR2H;MRPL52;POLR2F;RPL35;HNRNPU;HNRNPK;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12,NUP54;MRPS16;HNRNPH3;POLR2D;SNRPG;BAZ1B;MRPL24;HARS;GTF3C6;HNRNPD;MRPL42;MRPS18B;RRAGC;POLR2G;SYNCRIP;MRPL1;SNRNP40;RRBP1;MRPS5;SEH1L;FARSB;MRPS15;RPL39L;MAGOHB;DKC1;PABPN1;MRPL18;MRPL44;TARS;POLR2E;PELO;MRRF;NUP107;NUP50;RSL1D1;THOC3;RPS6KB2;MRPS9;MRPL34;COA1;SRRM1;PTMA;DHX16;NXT1;HNRNPA2B1;SRSF1;CHTOP;MRPL36;MRPS2;MRPS18C;HNRNPF;ABCF1;MRPL27;POLR2K;SRSF7;MPHOSPH10;MRPS11;LSM7;NUP37;NCBP2;NHP2;SRSF9;GSPT1;YARS2;POLR2J;MRPL43;DHX9;MRPL32;GTF3C5;RNPS1;SRSF2;MRPL37;XRN2;MRPS6;DHX15;HNRNPH1;MRPL55;PWP1;DHX29;MRPL28;SLBP;MRPL11;SARS;ILF2;SNU13;MRPS36;SRSF3;DRG1;SRSF10;POLR2H;MRPL52;POLR2F;RPL35;HNRNPU;HNRNPK;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12
mRNA processing (GO:0006397),-0.17679028057643253,inf,,0.0,284,97,HSPA8;CPSF4;POLR2L;PRPF40A;SNRPA1;DDX39A;PRPF4;LSM4;SNRNP27;SNRPF;HNRNPH3;PPIL1;POLR2D;SNRPG;HNRNPD;SMNDC1;TBRG4;GTF2H1;POLR2G;SYNCRIP;SNRNP40;LSM5;GTF2H3;MAGOHB;SNRPB;PABPN1;POLR2E;SRRM2;PRPF19;FRG1;THOC3;RBM17;SRRM1;AURKAIP1;DHX16;EFTUD2;HNRNPA2B1;SRSF1;SNRNP25;CHTOP;SNRNP70;SF1;SRRT;BUD31;HNRNPF;TXNL4A;POLR2K;SRSF7;LSM7;WBP4;PPIH;NCBP2;NUDT21;SRSF9;DDX46;SF3B2;POLR2J;DHX9;SNRPD1;GTF2F2;DDX42;U2SURP;HNRNPM;RNPS1;CD2BP2;GEMIN6;HNRNPR;SRSF2;DHX15;SF3A3;HNRNPH1;PHF5A;SNU13;ZCRB1;FUS;YBX1;SRSF3;SFPQ;SRSF10;LSM2;SNRPC;DNAJC8;SNRPD3;POLR2H;PTBP1;PNN;SNRPE;POLR2F;CDC5L;SF3B5;HNRNPU;CWC15;PUF60;HNRNPA3;DDX5;HNRNPC;HNRNPK,EFTUD2;HNRNPA2B1;SRSF1;SNRNP25;CHTOP;SNRNP70;SF1;SRRT;BUD31;HNRNPF;TXNL4A;POLR2K;SRSF7;LSM7;WBP4;PPIH;NCBP2;NUDT21;SRSF9;DDX46;SF3B2;POLR2J;DHX9;SNRPD1;GTF2F2;DDX42;U2SURP;HNRNPM;RNPS1;CD2BP2;GEMIN6;HNRNPR;SRSF2;DHX15;SF3A3;HNRNPH1;PHF5A;SNU13;ZCRB1;FUS;YBX1;SRSF3;SFPQ;SRSF10;LSM2;SNRPC;DNAJC8;SNRPD3;POLR2H;PTBP1;PNN;SNRPE;POLR2F;CDC5L;SF3B5;HNRNPU;CWC15;PUF60;HNRNPA3;DDX5;HNRNPC;HNRNPK
translational termination (GO:0006415),-0.15337660031611988,-531.6042968321567,0.0,0.023431225887725376,97,52,MRPL41;ETF1;MRPS17;MRPS10;MRPL17;MRPS35;MRPS16;DAP3;MRPL30;MRPL24;MRPL42;MRPS18B;MRPL1;MRPL20;MRPS5;MRPL39;MRPS15;MRPS31;MRPL18;MRPL44;MRPS26;MRRF;MRPL50;MRPL12;MRPS9;MRPL2;MRPL34;TRMT112;AURKAIP1;MRPS34;MRPS23;MRPL36;MRPS2;MRPS18C;MRPL27;MRPS11;MRPL14;GSPT1;MRPL43;MRPL21;MRPL32;MRPL49;CHCHD1;MRPS25;MRPL37;MRPS6;MRPL55;MRPL47;MRPL28;MRPL11;MRPS36;MRPL52,MRPS35;MRPS16;DAP3;MRPL30;MRPL24;MRPL42;MRPS18B;MRPL1;MRPL20;MRPS5;MRPL39;MRPS15;MRPS31;MRPL18;MRPL44;MRPS26;MRRF;MRPL50;MRPL12;MRPS9;MRPL2;MRPL34;TRMT112;AURKAIP1;MRPS34;MRPS23;MRPL36;MRPS2;MRPS18C;MRPL27;MRPS11;MRPL14;GSPT1;MRPL43;MRPL21;MRPL32;MRPL49;CHCHD1;MRPS25;MRPL37;MRPS6;MRPL55;MRPL47;MRPL28;MRPL11;MRPS36;MRPL52
mitochondrial translation (GO:0032543),-0.181806751097228,-417.10200993449894,0.0,0.02456499488229273,108,50,MRPL41;MRPS17;MRPS10;MRPL17;MRPS35;MRPS16;DAP3;MRPL30;MRPL24;HARS;MRPL42;MRPS18B;MRPL1;MRPL20;MRPS5;MRPL39;MRPS15;MRPS31;MRPL18;MRPL44;MRPS26;MRRF;MRPL50;MRPL12;MRPS9;MRPL2;MRPL34;AURKAIP1;MRPS34;MRPS23;MRPL36;MRPS2;MRPS18C;MRPL27;MRPS11;MRPL14;MRPL43;MRPL21;MRPL32;MRPL49;CHCHD1;MRPS25;MRPL37;MRPS6;MRPL55;MRPL47;MRPL28;MRPL11;MRPS36;MRPL52,MRPS35;MRPS16;DAP3;MRPL30;MRPL24;HARS;MRPL42;MRPS18B;MRPL1;MRPL20;MRPS5;MRPL39;MRPS15;MRPS31;MRPL18;MRPL44;MRPS26;MRRF;MRPL50;MRPL12;MRPS9;MRPL2;MRPL34;AURKAIP1;MRPS34;MRPS23;MRPL36;MRPS2;MRPS18C;MRPL27;MRPS11;MRPL14;MRPL43;MRPL21;MRPL32;MRPL49;CHCHD1;MRPS25;MRPL37;MRPS6;MRPL55;MRPL47;MRPL28;MRPL11;MRPS36;MRPL52
peptide biosynthetic process (GO:0043043),-0.2696645323877832,-349.2009752816822,0.0,0.02537482987841227,175,49,MRPL41;MRPS17;MRPS16;MRPL24;HARS;MRPL42;MRPS18B;MRPL1;RRBP1;MRPS5;FARSB;MRPS15;RPL39L;MRPL18;TARS;PELO;MRRF;RSL1D1;RPS6KB2;MRPS9;MRPL34;COA1;MRPL36;MRPS2;MRPS18C;ABCF1;MRPL27;MRPS11;NHP2;GSPT1;YARS2;MRPL43;MRPL32;MRPL37;MRPS6;MRPL55;MRPL28;MRPL11;SARS;SNU13;MRPS36;MRPL52;RPL35;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12,MRPL24;HARS;MRPL42;MRPS18B;MRPL1;RRBP1;MRPS5;FARSB;MRPS15;RPL39L;MRPL18;TARS;PELO;MRRF;RSL1D1;RPS6KB2;MRPS9;MRPL34;COA1;MRPL36;MRPS2;MRPS18C;ABCF1;MRPL27;MRPS11;NHP2;GSPT1;YARS2;MRPL43;MRPL32;MRPL37;MRPS6;MRPL55;MRPL28;MRPL11;SARS;SNU13;MRPS36;MRPL52;RPL35;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12
RNA metabolic process (GO:0016070),-0.1355550152708609,-284.8721168270547,0.5,0.027871821116447523,192,54,DDX21;PNPT1;POLR2L;DDX56;DDX39A;RNASEH1;PRPF4;HNRNPH3;POLR2D;SNRPG;HNRNPD;TBRG4;LRPPRC;RNASEH2B;POLR2G;SYNCRIP;SNRNP40;DDX18;EIF4A1;SKIV2L2;DKC1;PABPN1;MRPL44;POLR2E;DDX50;PCNA;RNASEH2C;DHX16;PPP1R8;HNRNPA2B1;HNRNPF;POLR2K;MPHOSPH10;LSM7;NCBP2;DDX46;POLR2J;DHX9;GTF2F2;DDX42;HNRNPM;HNRNPR;XRN2;DHX15;HNRNPH1;DHX29;POLR2H;PTBP1;POLR2F;HNRNPU;HNRNPA3;DDX5;HNRNPC;HNRNPK,PNPT1;POLR2L;DDX56;DDX39A;RNASEH1;PRPF4;HNRNPH3;POLR2D;SNRPG;HNRNPD;TBRG4;LRPPRC;RNASEH2B;POLR2G;SYNCRIP;SNRNP40;DDX18;EIF4A1;SKIV2L2;DKC1;PABPN1;MRPL44;POLR2E;DDX50;PCNA;RNASEH2C;DHX16;PPP1R8;HNRNPA2B1;HNRNPF;POLR2K;MPHOSPH10;LSM7;NCBP2;DDX46;POLR2J;DHX9;GTF2F2;DDX42;HNRNPM;HNRNPR;XRN2;DHX15;HNRNPH1;DHX29;POLR2H;PTBP1;POLR2F;HNRNPU;HNRNPA3;DDX5;HNRNPC;HNRNPK
